especie,sexo,FL,RW,CL,CW,BD
laranja,F,60,14.6,37,42,54
laranja,F,61,14.5,34.7,39.4,40
laranja,F,62,15.2,35.8,40.5,54
laranja,F,63,16,37.8,42.3,56
laranja,F,63,16.3,37.9,42.6,59
laranja,F,67,16.7,39.9,43.6,66
laranja,F,69,16.6,39.4,43.9,64
laranja,F,70,16.7,40.4,45.1,62
laranja,F,71,17.2,39.8,44.1,67
laranja,F,93,16,39.4,44.1,94
laranja,F,72,17.5,40,45.5,69
laranja,F,74,16.5,39.9,44.7,61
laranja,F,76,18.4,43.8,48.4,74
laranja,F,77,18,41.2,46.2,68
laranja,F,80,17.1,41.7,47.2,72
laranja,F,81,17.2,42.6,47.4,71
laranja,F,82,17.2,43,48.7,73
laranja,F,84,20.2,46.2,52.5,77
